"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Enterocolitis due to Clostridium difficile"	"A04.7"	71	3241836	2.2
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	12	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	12	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Septicaemia, unspecified"	"A41.9"	558	3241836	17.2
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Acute hepatitis C"	"B17.1"	50	3241836	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"HIV disease resulting in other specified conditions"	"B23.8"	11	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	14	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Sequelae of viral hepatitis"	"B94.2"	14	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	20	3241836	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	11	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	11	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	39	3241836	1.2
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	132	3241836	4.1
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	100	3241836	3.1
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	536	3241836	16.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of rectosigmoid junction"	"C19"	33	3241836	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of rectum"	"C20"	76	3241836	2.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	46	3241836	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	23	3241836	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	97	3241836	3.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of gallbladder"	"C23"	17	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	372	3241836	11.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	11	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	41	3241836	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2554	3241836	78.8
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	18	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	118	3241836	3.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	16	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	13	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	31	3241836	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	48	3241836	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	485	3241836	15.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	42	3241836	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Endometrium - Malignant neoplasms"	"C54.1"	25	3241836	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of uterus, part unspecified"	"C55"	33	3241836	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of ovary"	"C56"	214	3241836	6.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of prostate"	"C61"	325	3241836	10.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	158	3241836	4.9
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	134	3241836	4.1
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	168	3241836	5.2
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Head, face and neck - Malignant neoplasms"	"C76.0"	17	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Abdomen - Malignant neoplasms"	"C76.2"	11	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	23	3241836	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	46	3241836	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasm without specification of site"	"C80"	497	3241836	15.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Hodgkin disease, unspecified"	"C81.9"	17	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	13	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	255	3241836	7.9
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	141	3241836	4.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	13	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	55	3241836	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	84	3241836	2.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	11	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	31	3241836	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	56	3241836	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	48	3241836	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	44	3241836	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	58	3241836	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	18	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Anaemia, unspecified"	"D64.9"	26	3241836	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Coagulation defect, unspecified"	"D68.9"	14	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Agranulocytosis"	"D70"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Hypothyroidism, unspecified"	"E03.9"	19	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	50	3241836	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	12	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	140	3241836	4.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	20	3241836	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	54	3241836	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Unspecified diabetes mellitus, without complications"	"E14.9"	567	3241836	17.5
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Unspecified protein-energy malnutrition"	"E46"	40	3241836	1.2
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Other obesity"	"E66.8"	29	3241836	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Pure hypercholesterolaemia"	"E78.0"	14	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Hyperlipidaemia, unspecified"	"E78.5"	35	3241836	1.1
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Volume depletion"	"E86"	64	3241836	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Hyperosmolality and hypernatraemia"	"E87.0"	12	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Acidosis"	"E87.2"	22	3241836	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Hyperkalaemia"	"E87.5"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Unspecified dementia"	"F03"	593	3241836	18.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	52	3241836	1.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	21	3241836	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	28	3241836	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	16	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Huntington disease"	"G10"	11	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Motor neuron disease"	"G12.2"	75	3241836	2.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Parkinson disease"	"G20"	238	3241836	7.3
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Alzheimer disease with late onset"	"G30.1"	26	3241836	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Alzheimer disease, unspecified"	"G30.9"	1038	3241836	32.0
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Multiple sclerosis"	"G35"	23	3241836	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Status epilepticus, unspecified"	"G41.9"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Muscular dystrophy"	"G71.0"	12	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Infantile cerebral palsy, unspecified"	"G80.9"	28	3241836	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	70	3241836	2.2
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Encephalopathy, unspecified"	"G93.4"	10	3241836	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Mitral valve disease, unspecified"	"I05.9"	12	3241836	Unreliable
