"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Enterocolitis due to Clostridium difficile"	"A04.7"	70	3314160	2.1
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	16	3314160	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	11	3314160	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Septicaemia, unspecified"	"A41.9"	528	3314160	15.9
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Staphylococcal infection, unspecified"	"A49.0"	11	3314160	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Chronic viral hepatitis C"	"B18.2"	65	3314160	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	16	3314160	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	32	3314160	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	11	3314160	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	32	3314160	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	160	3314160	4.8
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	104	3314160	3.1
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	566	3314160	17.1
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Malignant neoplasm of rectosigmoid junction"	"C19"	42	3314160	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Malignant neoplasm of rectum"	"C20"	78	3314160	2.4
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	60	3314160	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	32	3314160	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2006"	"2006"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	100	3314160	3.0
