"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Enterocolitis due to Clostridium difficile"	"A04.7"	71	3406474	2.1
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	30	3406474	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	11	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	15	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Septicaemia, unspecified"	"A41.9"	594	3406474	17.4
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Chronic viral hepatitis C"	"B18.2"	63	3406474	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	12	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	12	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	19	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	17	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	10	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	11	3406474	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	33	3406474	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	170	3406474	5.0
