"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Enterocolitis due to Clostridium difficile"	"A04.7"	67	3399975	2.0
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	35	3399975	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	12	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Septicaemia, unspecified"	"A41.9"	584	3399975	17.2
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Bacterial infection, unspecified"	"A49.9"	11	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Chronic viral hepatitis C"	"B18.2"	77	3399975	2.3
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	25	3399975	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	15	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	10	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	16	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	47	3399975	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	189	3399975	5.6
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	105	3399975	3.1
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	493	3399975	14.5
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Malignant neoplasm of rectosigmoid junction"	"C19"	50	3399975	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Malignant neoplasm of rectum"	"C20"	73	3399975	2.1
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	94	3399975	2.8
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	45	3399975	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	119	3399975	3.5
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Malignant neoplasm of gallbladder"	"C23"	13	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	444	3399975	13.1
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	10	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	40	3399975	1.2
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2618	3399975	77.0
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	15	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	138	3399975	4.1
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	13	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	15	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	26	3399975	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	33	3399975	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	477	3399975	14.0
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	10	3399975	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	50	3399975	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Endometrium - Malignant neoplasms"	"C54.1"	32	3399975	0.9
