"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Enterocolitis due to Clostridium difficile"	"A04.7"	48	3279048	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	10	3279048	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	14	3279048	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	10	3279048	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Septicaemia, unspecified"	"A41.9"	555	3279048	16.9
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Staphylococcal infection, unspecified"	"A49.0"	11	3279048	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Chronic viral hepatitis C"	"B18.2"	68	3279048	2.1
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	17	3279048	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Sequelae of viral hepatitis"	"B94.2"	15	3279048	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	20	3279048	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	14	3279048	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	32	3279048	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	125	3279048	3.8
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	94	3279048	2.9
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	519	3279048	15.8
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Malignant neoplasm of rectosigmoid junction"	"C19"	56	3279048	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Malignant neoplasm of rectum"	"C20"	70	3279048	2.1
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	50	3279048	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	26	3279048	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	89	3279048	2.7
	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Malignant neoplasm of gallbladder"	"C23"	19	3279048	Unreliable
