"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Enterocolitis due to Clostridium difficile"	"A04.7"	60	3255811	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	10	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Septicaemia, unspecified"	"A41.9"	493	3255811	15.1
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Acute hepatitis C"	"B17.1"	52	3255811	1.6
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	19	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Sequelae of viral hepatitis"	"B94.2"	11	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	11	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	14	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	19	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	12	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	36	3255811	1.1
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	152	3255811	4.7
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	113	3255811	3.5
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	526	3255811	16.2
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of rectosigmoid junction"	"C19"	33	3255811	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of rectum"	"C20"	69	3255811	2.1
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	56	3255811	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	32	3255811	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	117	3255811	3.6
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of gallbladder"	"C23"	17	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	12	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	392	3255811	12.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	41	3255811	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2494	3255811	76.6
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	27	3255811	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	93	3255811	2.9
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	11	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	20	3255811	0.6
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	28	3255811	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	492	3255811	15.1
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	43	3255811	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Endometrium - Malignant neoplasms"	"C54.1"	43	3255811	1.3
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of uterus, part unspecified"	"C55"	28	3255811	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of ovary"	"C56"	230	3255811	7.1
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of prostate"	"C61"	329	3255811	10.1
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	146	3255811	4.5
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	155	3255811	4.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	175	3255811	5.4
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm of thyroid gland"	"C73"	14	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Abdomen - Malignant neoplasms"	"C76.2"	14	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	26	3255811	0.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	10	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	47	3255811	1.4
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasm without specification of site"	"C80"	414	3255811	12.7
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Hodgkin disease, unspecified"	"C81.9"	15	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	15	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	10	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	251	3255811	7.7
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	143	3255811	4.4
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	14	3255811	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	58	3255811	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	91	3255811	2.8
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	22	3255811	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	32	3255811	1.0
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	61	3255811	1.9
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	48	3255811	1.5
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	55	3255811	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	65	3255811	2.0
